<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170307,223000,1.0565900,1.0569500,1.0563000,1.0565800,11218
20170307,224500,1.0565300,1.0568600,1.0563000,1.0568500,10677
20170307,230000,1.0568200,1.0569200,1.0564000,1.0566600,11041
20170307,231500,1.0566700,1.0567900,1.0563000,1.0566400,11058
20170307,233000,1.0566500,1.0567700,1.0563000,1.0567700,7758
20170307,234500,1.0567500,1.0573100,1.0565000,1.0572400,11782
20170308,000000,1.0572600,1.0572700,1.0567000,1.0570000,12897
20170308,001500,1.0569900,1.0570100,1.0565000,1.0567700,8121
20170308,003000,1.0567900,1.0568200,1.0563000,1.0567700,6816
20170308,004500,1.0567600,1.0569000,1.0565000,1.0567400,5444
20170308,010000,1.0567500,1.0567700,1.0563000,1.0566300,6924
20170308,011500,1.0564400,1.0570300,1.0562400,1.0569000,6705
20170308,013000,1.0569400,1.0569400,1.0562000,1.0565200,6729
20170308,014500,1.0565600,1.0566300,1.0561000,1.0563900,5073
20170308,020000,1.0564200,1.0568100,1.0561000,1.0567200,6302
20170308,021500,1.0566000,1.0567100,1.0562000,1.0567100,8762
20170308,023000,1.0567100,1.0568800,1.0564000,1.0566400,6634
20170308,024500,1.0566800,1.0568300,1.0564200,1.0568200,7083
20170308,030000,1.0567700,1.0570000,1.0565000,1.0569000,6683
20170308,031500,1.0569000,1.0571400,1.0565000,1.0568500,11047
20170308,033000,1.0568100,1.0573300,1.0566000,1.0568500,11157
20170308,034500,1.0568000,1.0571800,1.0566000,1.0571600,9692
20170308,040000,1.0571600,1.0573600,1.0567000,1.0570900,11088
20170308,041500,1.0571000,1.0574200,1.0568400,1.0572500,13500
20170308,043000,1.0572200,1.0573300,1.0567000,1.0570900,12488
20170308,044500,1.0570600,1.0571900,1.0565000,1.0569800,11189
20170308,050000,1.0569800,1.0570300,1.0564000,1.0567800,10063
20170308,051500,1.0567500,1.0568000,1.0563000,1.0565600,7327
20170308,053000,1.0565600,1.0567100,1.0561000,1.0564800,10902
20170308,054500,1.0564100,1.0568500,1.0562000,1.0567800,9886
20170308,060000,1.0567700,1.0569400,1.0565000,1.0568200,8436
20170308,061500,1.0568600,1.0568800,1.0563000,1.0568300,8889
20170308,063000,1.0568600,1.0568700,1.0563000,1.0566300,8126
20170308,064500,1.0566000,1.0567800,1.0561000,1.0565400,14024
20170308,070000,1.0566100,1.0567400,1.0563000,1.0566200,9861
20170308,071500,1.0566200,1.0568300,1.0561000,1.0564100,10934
20170308,073000,1.0564100,1.0564200,1.0557000,1.0561800,11770
20170308,074500,1.0562200,1.0563100,1.0558000,1.0561000,8137
20170308,080000,1.0561300,1.0563400,1.0557000,1.0561000,9487
20170308,081500,1.0560800,1.0561300,1.0556000,1.0560400,11444
20170308,083000,1.0560700,1.0563300,1.0558000,1.0562400,12372
20170308,084500,1.0562400,1.0563500,1.0558000,1.0563300,10793
20170308,090000,1.0563400,1.0564000,1.0560000,1.0563000,7250
20170308,091500,1.0563400,1.0565000,1.0560000,1.0564600,9295
20170308,093000,1.0564700,1.0565400,1.0560000,1.0563600,9857
20170308,094500,1.0563500,1.0567400,1.0561500,1.0566600,9851
20170308,100000,1.0566600,1.0569600,1.0562000,1.0565300,10953
20170308,101500,1.0565200,1.0570000,1.0564000,1.0567700,14402
20170308,103000,1.0567800,1.0573100,1.0564000,1.0566500,15306
20170308,104500,1.0566000,1.0570000,1.0558000,1.0561300,20309
20170308,110000,1.0561100,1.0564800,1.0554000,1.0560000,23056
20170308,111500,1.0560000,1.0563900,1.0556000,1.0559100,20676
20170308,113000,1.0559200,1.0560000,1.0549000,1.0557800,24950
