<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150407,000000,1.0920800,1.0954800,1.0801000,1.0813900,1615870
20150408,000000,1.0814300,1.0887500,1.0762000,1.0779800,1777974
20150409,000000,1.0779800,1.0790000,1.0635000,1.0658400,1649279
20150410,000000,1.0658600,1.0683700,1.0566000,1.0603400,1609673
20150411,000000,1.0603400,1.0603400,1.0596800,1.0596800,78
20150412,000000,1.0599500,1.0602000,1.0580500,1.0584700,5592
20150413,000000,1.0584600,1.0619800,1.0519000,1.0566700,1634122
20150414,000000,1.0565000,1.0707300,1.0529000,1.0655600,1678997
20150415,000000,1.0653800,1.0702000,1.0569000,1.0683400,1875553
20150416,000000,1.0683100,1.0817700,1.0623000,1.0759800,2184113
20150417,000000,1.0760100,1.0848700,1.0732700,1.0804300,1915382
20150418,000000,1.0804300,1.0805100,1.0802800,1.0805100,11
20150419,000000,1.0830000,1.0830000,1.0809900,1.0817800,6806
20150420,000000,1.0818500,1.0821200,1.0711500,1.0737400,1523141
20150421,000000,1.0736500,1.0781300,1.0658000,1.0735100,1604218
20150422,000000,1.0735100,1.0800900,1.0706000,1.0724000,1674770
20150423,000000,1.0723400,1.0845800,1.0665000,1.0822100,1824850
20150424,000000,1.0821900,1.0900200,1.0782000,1.0868500,1842079
20150425,000000,1.0868500,1.0873400,1.0868500,1.0869500,25
20150426,000000,1.0860000,1.0868100,1.0855700,1.0863000,953
20150427,000000,1.0862400,1.0926600,1.0818000,1.0889800,1545618
20150428,000000,1.0889300,1.0991100,1.0859000,1.0980200,1716751
20150429,000000,1.0979900,1.1187900,1.0957000,1.1127500,2001251
20150430,000000,1.1127600,1.1266200,1.1069000,1.1223600,2192275
20150501,000000,1.1223000,1.1290000,1.1173800,1.1198000,1559152
20150502,000000,1.1200000,1.1201600,1.1195800,1.1195800,80
20150503,000000,1.1200000,1.1200000,1.1178000,1.1190100,2862
20150504,000000,1.1196600,1.1224600,1.1120000,1.1145100,1333793
20150505,000000,1.1144900,1.1223100,1.1064000,1.1185100,1525152
20150506,000000,1.1184700,1.1370100,1.1173000,1.1346500,1570924
20150507,000000,1.1345600,1.1391700,1.1236000,1.1264100,1484929
20150508,000000,1.1266000,1.1288700,1.1177000,1.1201500,1514040
20150509,000000,1.1200000,1.1205900,1.1192000,1.1192000,45
20150510,000000,1.1196000,1.1202300,1.1191000,1.1194000,4391
20150511,000000,1.1197200,1.1206500,1.1128000,1.1153900,1254470
20150512,000000,1.1155100,1.1278800,1.1131000,1.1212000,1210013
20150513,000000,1.1212700,1.1382700,1.1201000,1.1353300,1312699
20150514,000000,1.1352600,1.1444700,1.1338000,1.1409900,1342570
20150515,000000,1.1409300,1.1466700,1.1321000,1.1448000,1308538
20150516,000000,1.1448400,1.1451000,1.1442000,1.1442000,115
20150517,000000,1.1450000,1.1450000,1.1430000,1.1445600,610
20150518,000000,1.1447500,1.1449300,1.1297000,1.1314000,1216743
20150519,000000,1.1312300,1.1326400,1.1117000,1.1148300,1480185
20150520,000000,1.1149400,1.1153000,1.1060000,1.1091700,1596165
20150521,000000,1.1091900,1.1181400,1.1077000,1.1111200,1362733
20150522,000000,1.1111600,1.1208400,1.0999000,1.1007000,1324756
20150523,000000,1.1009800,1.1012000,1.1002000,1.1002000,28
20150524,000000,1.1003000,1.1006000,1.0993300,1.0997900,7813
20150525,000000,1.1001500,1.1009700,1.0956000,1.0976000,607677
20150526,000000,1.0977500,1.0981200,1.0861000,1.0870100,1327629
20150527,000000,1.0871400,1.0930000,1.0817000,1.0902500,1308450
20150528,000000,1.0902800,1.0958800,1.0866000,1.0947000,1440393
20150529,000000,1.0947500,1.1006300,1.0924000,1.0984900,1294992
20150530,000000,1.0990400,1.0990900,1.0988600,1.0990800,14
20150531,000000,1.0990400,1.0990400,1.0973900,1.0978300,4531
20150601,000000,1.0976900,1.0989500,1.0885000,1.0924100,1282819
20150602,000000,1.0925600,1.1194100,1.0914000,1.1149700,1545673
20150603,000000,1.1148800,1.1285100,1.1078700,1.1273700,1509082
20150604,000000,1.1272800,1.1380000,1.1222000,1.1236800,1507267
20150605,000000,1.1237000,1.1280000,1.1048000,1.1110700,1505948
20150606,000000,1.1110300,1.1113100,1.1106800,1.1106800,80
20150607,000000,1.1110000,1.1110000,1.1077100,1.1092000,6755
20150608,000000,1.1094900,1.1306900,1.1081000,1.1290600,1333769
20150609,000000,1.1290900,1.1345400,1.1212000,1.1281600,1481399
20150610,000000,1.1280600,1.1386500,1.1259100,1.1322100,1627431
20150611,000000,1.1322000,1.1332000,1.1181000,1.1257300,1302889
20150612,000000,1.1256400,1.1296500,1.1148000,1.1264800,1426355
20150613,000000,1.1265700,1.1265700,1.1257100,1.1257100,92
20150614,000000,1.1230000,1.1237000,1.1206100,1.1208300,6520
20150615,000000,1.1210900,1.1294400,1.1186000,1.1282600,1219170
20150616,000000,1.1283100,1.1330000,1.1203000,1.1247000,1147108
20150617,000000,1.1247600,1.1357800,1.1203700,1.1336600,1317936
20150618,000000,1.1335400,1.1436400,1.1329000,1.1356000,1387360
20150619,000000,1.1357700,1.1400300,1.1291000,1.1348700,1102401
20150620,000000,1.1351000,1.1355000,1.1346000,1.1350000,111
20150621,000000,1.1362000,1.1382000,1.1360000,1.1372500,4958
20150622,000000,1.1372400,1.1410300,1.1311000,1.1339500,1177070
20150623,000000,1.1340300,1.1347400,1.1133900,1.1166200,1580969
20150624,000000,1.1166800,1.1234700,1.1153000,1.1200700,1706033
20150625,000000,1.1203000,1.1227700,1.1151000,1.1202700,1499489
20150626,000000,1.1203400,1.1220000,1.1129000,1.1159100,1439183
20150627,000000,1.1165400,1.1167500,1.1161700,1.1161700,89
20150628,000000,1.1026000,1.1042000,1.0995000,1.1002800,2221
20150629,000000,1.1002600,1.1278500,1.0951300,1.1235000,2162027
20150630,000000,1.1235000,1.1244300,1.1111000,1.1135700,1871867
20150701,000000,1.1135700,1.1171300,1.1041000,1.1051700,1616199
20150702,000000,1.1051700,1.1121200,1.1030000,1.1082200,1484312
20150703,000000,1.1083200,1.1120000,1.1064000,1.1093900,1212575
20150704,000000,1.1112000,1.1115000,1.1112000,1.1115000,10
20150705,000000,1.1000000,1.1017100,1.0976400,1.0984000,1098
20150706,000000,1.0989000,1.1095500,1.0968300,1.1055100,1380561
20150707,000000,1.1055600,1.1059000,1.0914000,1.1010300,1801661
20150708,000000,1.1010200,1.1092800,1.0971000,1.1074500,1848013
20150709,000000,1.1076000,1.1124900,1.0990000,1.1035700,1702346
20150710,000000,1.1035600,1.1216000,1.1027600,1.1160500,1835983
20150711,000000,1.1162000,1.1162000,1.1149700,1.1151600,10
20150712,000000,1.1110000,1.1125700,1.1085000,1.1091900,4294
20150713,000000,1.1094300,1.1196900,1.0993900,1.1004000,1651089
20150714,000000,1.1000700,1.1084600,1.0964000,1.1008500,1490836
20150715,000000,1.1007800,1.1035600,1.0928000,1.0945300,1591518
20150716,000000,1.0945700,1.0962700,1.0854000,1.0874500,1613364
20150717,000000,1.0872400,1.0906900,1.0826500,1.0827700,1433083
20150718,000000,1.0827700,1.0829000,1.0824000,1.0828000,123
20150719,000000,1.0832000,1.0839500,1.0829000,1.0830000,301
20150720,000000,1.0829900,1.0870300,1.0807000,1.0824400,1107814
20150721,000000,1.0823700,1.0969100,1.0809000,1.0932500,1520732
20150722,000000,1.0934200,1.0966700,1.0868000,1.0928200,1446154
20150723,000000,1.0926300,1.1017900,1.0919000,1.0983300,1541165
20150724,000000,1.0981400,1.0995800,1.0922000,1.0979600,1308974
20150725,000000,1.0983800,1.0983800,1.0980000,1.0980000,11
20150726,000000,1.0970000,1.0989000,1.0970000,1.0980000,3593
20150727,000000,1.0980800,1.1129400,1.0966000,1.1086800,1428791
20150728,000000,1.1086700,1.1099600,1.1019000,1.1059400,1428072
20150729,000000,1.1058900,1.1084000,1.0964000,1.0981200,1592575
